region	MC Hist	MC Now	Species	Family	Status	Growth form	Life form	Life Span	Clonality 	Spinescence	Leaf Periodicity 1=evergreen 2=deciduous 3=semi-evergreen	Dispersal mode	Pollination System	FOREST	WOODLAND	SCRUBLAND	DWARF SCRUB	NATURAL GRASSLAND	SEMI-NATURAL GRASSLAND	COASTAL DUNES	H2O FRESH	H2O SALINE	DESERT	RIPARIAN	ANTHROPOGNEIC	AGRICULTURAL	
1	1	1	Glyceria striata	Poaceae	0	3	3	3	1	0	2	1	0		1						1						2
1	1	0	Gratiola neglecta	Plantaginaceae	0	1	5	1	1	0	2	1	1								1						1
1	1	0	Grindelia squarrosa	Asteraceae	1	1	3	"1,2,3"	1	0	2	1	1						1						1		2
1	1	1	Gymnocladus dioicus	Fabaceae	0	5	1	3	1	0	2	1	1	1	1												2
1	1	1	Hackelia virginiana	Boraginaceae	0	1	3	"2,3"	1	0	2	4	1	1	1												2
1	0	1	Hamamelis virginiana	Hamamelidaceae	0	4	1	3	1	0	2	1	1	1	1												2
1	1	0	Hasteola suaveolens	Asteraceae	0	1	3	3	2	0	2	2	1											1			1
1	1	0	Hedeoma pulegioides	Lamiaceae	0	1	5	1	1	0	2	1	1	1	1												2
1	0	1	Hedera helix	Araliaceae	1	8	1	3	3	0	1	3	1		1										1		2
1	1	1	Helenium autumnale	Asteraceae	0	1	3	3	1	0	2	4	1			1			1					1			3
1	1	1	Helianthus annuus	Asteraceae	0	1	5	1	1	0	2	3	1			1			1					1	1		4
1	1	1	Helianthus decapetalus	Asteraceae	0	1	4	3	3	0	2	3	1		1									1			2
1	0	1	Helianthus divaricatus	Asteraceae	0	1	4	3	3	0	2	3	1		1	1											2
1	1	0	Helianthus giganteus	Asteraceae	0	1	3	3	3	0	2	3	1								1						1
1	1	0	Helianthus grosseserratus	Asteraceae	0	1	4	3	3	0	2	3	1						1		1			1			3
1	0	1	Helianthus hirsutus	Asteraceae	0	1	4	3	3	0	2	3	1		1	1			1								3
1	1	1	Helianthus microcephalus	Asteraceae	0	1	3	3	1	0	2	1	1		1	1											2
1	1	0	Helianthus mollis	Asteraceae	0	1	4	3	3	0	2	3	1						1								1
1	0	0	Helianthus pauciflorus	Asteraceae	0	1	4	3	3	0	2	3	1						1						1		2
1	0	0	Helianthus petiolaris	Asteraceae	1	1	5	1	1	0	2	3	1						1						1		2
1	0	1	Helianthus strumosus	Asteraceae	0	1	4	3	3	0	2	3	1		1	1			1								3
1	1	1	Helianthus tuberosus	Asteraceae	0	1	4	3	3	0	2	3	1		1	1			1						1		4
1	1	1	Heliopsis helianthoides	Asteraceae	0	1	4	3	3	0	2	1	1		1				1						1		3
1	0	1	Hemerocallis fulva	Hemerocallidaceae	1	1	4	3	3	0	2	1	1						1						1		2
